date,date_id,year,month,month_name,quarter,day,day_name,week,is_weekend
2016-09-04 21:15:19,20160904,2016,9,September,3,4,Sunday,35,1
2016-09-05 00:15:34,20160905,2016,9,September,3,5,Monday,36,0
2016-09-13 15:24:19,20160913,2016,9,September,3,13,Tuesday,37,0
2016-09-15 12:16:38,20160915,2016,9,September,3,15,Thursday,37,0
2016-10-02 22:07:52,20161002,2016,10,October,4,2,Sunday,39,1
2016-10-03 22:31:31,20161003,2016,10,October,4,3,Monday,40,0
2016-10-04 14:13:22,20161004,2016,10,October,4,4,Tuesday,40,0
2016-10-05 22:44:13,20161005,2016,10,October,4,5,Wednesday,40,0
2016-10-06 11:05:43,20161006,2016,10,October,4,6,Thursday,40,0
2016-10-07 00:54:40,20161007,2016,10,October,4,7,Friday,40,0
2016-10-08 08:25:32,20161008,2016,10,October,4,8,Saturday,40,1
2016-10-09 22:36:44,20161009,2016,10,October,4,9,Sunday,40,1
2016-10-10 11:08:53,20161010,2016,10,October,4,10,Monday,41,0
2016-10-22 08:25:27,20161022,2016,10,October,4,22,Saturday,42,1
2016-12-23 23:16:47,20161223,2016,12,December,4,23,Friday,51,0
2017-01-05 13:34:35,20170105,2017,1,January,1,5,Thursday,1,0
2017-01-06 13:43:16,20170106,2017,1,January,1,6,Friday,1,0
2017-01-07 17:20:56,20170107,2017,1,January,1,7,Saturday,1,1
2017-01-08 19:27:22,20170108,2017,1,January,1,8,Sunday,1,1
2017-01-09 21:31:15,20170109,2017,1,January,1,9,Monday,2,0
2017-01-10 13:58:33,20170110,2017,1,January,1,10,Tuesday,2,0
2017-01-11 00:13:51,20170111,2017,1,January,1,11,Wednesday,2,0
2017-01-12 23:42:50,20170112,2017,1,January,1,12,Thursday,2,0
2017-01-13 11:06:56,20170113,2017,1,January,1,13,Friday,2,0
2017-01-14 15:42:20,20170114,2017,1,January,1,14,Saturday,2,1
2017-01-15 18:57:33,20170115,2017,1,January,1,15,Sunday,2,1
2017-01-16 14:24:22,20170116,2017,1,January,1,16,Monday,3,0
2017-01-17 10:49:05,20170117,2017,1,January,1,17,Tuesday,3,0
2017-01-18 17:44:05,20170118,2017,1,January,1,18,Wednesday,3,0
2017-01-19 22:41:52,20170119,2017,1,January,1,19,Thursday,3,0
2017-01-20 11:12:25,20170120,2017,1,January,1,20,Friday,3,0
2017-01-21 17:08:01,20170121,2017,1,January,1,21,Saturday,3,1
2017-01-22 14:09:03,20170122,2017,1,January,1,22,Sunday,3,1
2017-01-23 18:29:09,20170123,2017,1,January,1,23,Monday,4,0
2017-01-24 15:59:17,20170124,2017,1,January,1,24,Tuesday,4,0
2017-01-25 15:47:27,20170125,2017,1,January,1,25,Wednesday,4,0
2017-01-26 16:25:36,20170126,2017,1,January,1,26,Thursday,4,0
2017-01-27 00:34:10,20170127,2017,1,January,1,27,Friday,4,0
2017-01-28 23:45:53,20170128,2017,1,January,1,28,Saturday,4,1
2017-01-29 22:14:49,20170129,2017,1,January,1,29,Sunday,4,1
2017-01-30 14:51:21,20170130,2017,1,January,1,30,Monday,5,0
2017-01-31 17:14:07,20170131,2017,1,January,1,31,Tuesday,5,0
2017-02-01 20:59:12,20170201,2017,2,February,1,1,Wednesday,5,0
2017-02-02 23:24:24,20170202,2017,2,February,1,2,Thursday,5,0
2017-02-03 20:30:42,20170203,2017,2,February,1,3,Friday,5,0
2017-02-04 23:27:50,20170204,2017,2,February,1,4,Saturday,5,1
2017-02-05 11:58:04,20170205,2017,2,February,1,5,Sunday,5,1
2017-02-06 15:43:18,20170206,2017,2,February,1,6,Monday,6,0
2017-02-07 12:01:07,20170207,2017,2,February,1,7,Tuesday,6,0
2017-02-08 18:00:36,20170208,2017,2,February,1,8,Wednesday,6,0
2017-02-09 23:19:27,20170209,2017,2,February,1,9,Thursday,6,0
2017-02-10 16:37:55,20170210,2017,2,February,1,10,Friday,6,0
2017-02-11 10:53:48,20170211,2017,2,February,1,11,Saturday,6,1
2017-02-12 18:48:56,20170212,2017,2,February,1,12,Sunday,6,1
2017-02-13 09:35:10,20170213,2017,2,February,1,13,Monday,7,0
2017-02-14 15:39:32,20170214,2017,2,February,1,14,Tuesday,7,0
2017-02-15 09:41:08,20170215,2017,2,February,1,15,Wednesday,7,0
2017-02-16 09:42:48,20170216,2017,2,February,1,16,Thursday,7,0
2017-02-17 17:37:52,20170217,2017,2,February,1,17,Friday,7,0
2017-02-18 10:39:14,20170218,2017,2,February,1,18,Saturday,7,1
2017-02-19 14:41:38,20170219,2017,2,February,1,19,Sunday,7,1
2017-02-20 11:45:39,20170220,2017,2,February,1,20,Monday,8,0
2017-02-21 04:13:37,20170221,2017,2,February,1,21,Tuesday,8,0
2017-02-22 13:22:13,20170222,2017,2,February,1,22,Wednesday,8,0
2017-02-23 08:03:00,20170223,2017,2,February,1,23,Thursday,8,0
2017-02-24 15:13:02,20170224,2017,2,February,1,24,Friday,8,0
2017-02-25 14:34:40,20170225,2017,2,February,1,25,Saturday,8,1
2017-02-26 17:33:51,20170226,2017,2,February,1,26,Sunday,8,1
2017-02-27 19:54:44,20170227,2017,2,February,1,27,Monday,9,0
2017-02-28 17:28:52,20170228,2017,2,February,1,28,Tuesday,9,0
2017-03-01 18:29:06,20170301,2017,3,March,1,1,Wednesday,9,0
2017-03-02 11:20:23,20170302,2017,3,March,1,2,Thursday,9,0
2017-03-03 00:14:01,20170303,2017,3,March,1,3,Friday,9,0
2017-03-04 09:55:08,20170304,2017,3,March,1,4,Saturday,9,1
2017-03-05 22:44:58,20170305,2017,3,March,1,5,Sunday,9,1
2017-03-06 00:14:28,20170306,2017,3,March,1,6,Monday,10,0
2017-03-07 11:47:20,20170307,2017,3,March,1,7,Tuesday,10,0
2017-03-08 19:55:23,20170308,2017,3,March,1,8,Wednesday,10,0
2017-03-09 22:17:49,20170309,2017,3,March,1,9,Thursday,10,0
2017-03-10 11:45:28,20170310,2017,3,March,1,10,Friday,10,0
2017-03-11 00:05:55,20170311,2017,3,March,1,11,Saturday,10,1
2017-03-12 19:04:41,20170312,2017,3,March,1,12,Sunday,10,1
2017-03-13 18:14:36,20170313,2017,3,March,1,13,Monday,11,0
2017-03-14 16:25:43,20170314,2017,3,March,1,14,Tuesday,11,0
2017-03-15 15:54:53,20170315,2017,3,March,1,15,Wednesday,11,0
2017-03-16 09:47:59,20170316,2017,3,March,1,16,Thursday,11,0
2017-03-17 18:21:51,20170317,2017,3,March,1,17,Friday,11,0
2017-03-18 15:22:19,20170318,2017,3,March,1,18,Saturday,11,1
2017-03-19 23:15:51,20170319,2017,3,March,1,19,Sunday,11,1
2017-03-20 17:15:11,20170320,2017,3,March,1,20,Monday,12,0
2017-03-21 11:33:31,20170321,2017,3,March,1,21,Tuesday,12,0
2017-03-22 17:25:28,20170322,2017,3,March,1,22,Wednesday,12,0
2017-03-23 12:21:17,20170323,2017,3,March,1,23,Thursday,12,0
2017-03-24 15:50:46,20170324,2017,3,March,1,24,Friday,12,0
2017-03-25 23:51:57,20170325,2017,3,March,1,25,Saturday,12,1
2017-03-26 21:42:57,20170326,2017,3,March,1,26,Sunday,12,1
2017-03-27 14:04:58,20170327,2017,3,March,1,27,Monday,13,0
2017-03-28 16:03:34,20170328,2017,3,March,1,28,Tuesday,13,0
2017-03-29 23:16:20,20170329,2017,3,March,1,29,Wednesday,13,0
2017-03-30 07:50:33,20170330,2017,3,March,1,30,Thursday,13,0
2017-03-31 11:30:55,20170331,2017,3,March,1,31,Friday,13,0
2017-04-01 17:11:03,20170401,2017,4,April,2,1,Saturday,13,1
2017-04-02 16:09:55,20170402,2017,4,April,2,2,Sunday,13,1
2017-04-03 23:09:50,20170403,2017,4,April,2,3,Monday,14,0
2017-04-04 13:15:05,20170404,2017,4,April,2,4,Tuesday,14,0
2017-04-05 00:11:11,20170405,2017,4,April,2,5,Wednesday,14,0
2017-04-06 22:39:29,20170406,2017,4,April,2,6,Thursday,14,0
2017-04-07 10:07:39,20170407,2017,4,April,2,7,Friday,14,0
2017-04-08 13:01:30,20170408,2017,4,April,2,8,Saturday,14,1
2017-04-09 17:54:27,20170409,2017,4,April,2,9,Sunday,14,1
2017-04-10 14:29:16,20170410,2017,4,April,2,10,Monday,15,0
2017-04-11 12:22:08,20170411,2017,4,April,2,11,Tuesday,15,0
2017-04-12 02:16:32,20170412,2017,4,April,2,12,Wednesday,15,0
2017-04-13 17:26:06,20170413,2017,4,April,2,13,Thursday,15,0
2017-04-14 22:06:32,20170414,2017,4,April,2,14,Friday,15,0
2017-04-15 23:53:50,20170415,2017,4,April,2,15,Saturday,15,1
2017-04-16 12:16:18,20170416,2017,4,April,2,16,Sunday,15,1
2017-04-17 14:48:17,20170417,2017,4,April,2,17,Monday,16,0
2017-04-18 16:00:31,20170418,2017,4,April,2,18,Tuesday,16,0
2017-04-19 13:45:55,20170419,2017,4,April,2,19,Wednesday,16,0
2017-04-20 17:15:46,20170420,2017,4,April,2,20,Thursday,16,0
2017-04-21 20:23:41,20170421,2017,4,April,2,21,Friday,16,0
2017-04-22 19:26:47,20170422,2017,4,April,2,22,Saturday,16,1
2017-04-23 21:14:56,20170423,2017,4,April,2,23,Sunday,16,1
2017-04-24 09:37:26,20170424,2017,4,April,2,24,Monday,17,0
2017-04-25 13:35:09,20170425,2017,4,April,2,25,Tuesday,17,0
2017-04-26 16:14:11,20170426,2017,4,April,2,26,Wednesday,17,0
2017-04-27 11:08:59,20170427,2017,4,April,2,27,Thursday,17,0
2017-04-28 14:20:07,20170428,2017,4,April,2,28,Friday,17,0
2017-04-29 20:09:24,20170429,2017,4,April,2,29,Saturday,17,1
2017-04-30 22:43:56,20170430,2017,4,April,2,30,Sunday,17,1
2017-05-01 15:01:03,20170501,2017,5,May,2,1,Monday,18,0
2017-05-02 16:35:06,20170502,2017,5,May,2,2,Tuesday,18,0
2017-05-03 14:31:43,20170503,2017,5,May,2,3,Wednesday,18,0
2017-05-04 15:20:54,20170504,2017,5,May,2,4,Thursday,18,0
2017-05-05 13:48:37,20170505,2017,5,May,2,5,Friday,18,0
2017-05-06 11:20:18,20170506,2017,5,May,2,6,Saturday,18,1
2017-05-07 13:53:39,20170507,2017,5,May,2,7,Sunday,18,1
2017-05-08 12:22:44,20170508,2017,5,May,2,8,Monday,19,0
2017-05-09 20:48:59,20170509,2017,5,May,2,9,Tuesday,19,0
2017-05-10 14:03:27,20170510,2017,5,May,2,10,Wednesday,19,0
2017-05-11 09:13:17,20170511,2017,5,May,2,11,Thursday,19,0
2017-05-12 10:51:43,20170512,2017,5,May,2,12,Friday,19,0
2017-05-13 17:42:39,20170513,2017,5,May,2,13,Saturday,19,1
2017-05-14 20:28:25,20170514,2017,5,May,2,14,Sunday,19,1
2017-05-15 16:29:03,20170515,2017,5,May,2,15,Monday,20,0
2017-05-16 13:10:30,20170516,2017,5,May,2,16,Tuesday,20,0
2017-05-17 08:36:11,20170517,2017,5,May,2,17,Wednesday,20,0
2017-05-18 13:55:47,20170518,2017,5,May,2,18,Thursday,20,0
2017-05-19 18:53:40,20170519,2017,5,May,2,19,Friday,20,0
2017-05-20 02:48:00,20170520,2017,5,May,2,20,Saturday,20,1
2017-05-21 21:10:35,20170521,2017,5,May,2,21,Sunday,20,1
2017-05-22 15:57:42,20170522,2017,5,May,2,22,Monday,21,0
2017-05-23 15:28:58,20170523,2017,5,May,2,23,Tuesday,21,0
2017-05-24 10:11:27,20170524,2017,5,May,2,24,Wednesday,21,0
2017-05-25 13:50:11,20170525,2017,5,May,2,25,Thursday,21,0
2017-05-26 18:35:51,20170526,2017,5,May,2,26,Friday,21,0
2017-05-27 03:23:02,20170527,2017,5,May,2,27,Saturday,21,1
2017-05-28 02:08:13,20170528,2017,5,May,2,28,Sunday,21,1
2017-05-29 12:35:44,20170529,2017,5,May,2,29,Monday,22,0
2017-05-30 20:44:31,20170530,2017,5,May,2,30,Tuesday,22,0
2017-05-31 20:57:49,20170531,2017,5,May,2,31,Wednesday,22,0
2017-06-01 10:52:29,20170601,2017,6,June,2,1,Thursday,22,0
2017-06-02 14:00:19,20170602,2017,6,June,2,2,Friday,22,0
2017-06-03 10:47:56,20170603,2017,6,June,2,3,Saturday,22,1
2017-06-04 10:05:59,20170604,2017,6,June,2,4,Sunday,22,1
2017-06-05 13:24:46,20170605,2017,6,June,2,5,Monday,23,0
2017-06-06 00:11:09,20170606,2017,6,June,2,6,Tuesday,23,0
2017-06-07 21:13:15,20170607,2017,6,June,2,7,Wednesday,23,0
2017-06-08 21:18:45,20170608,2017,6,June,2,8,Thursday,23,0
2017-06-09 13:14:12,20170609,2017,6,June,2,9,Friday,23,0
2017-06-10 18:02:25,20170610,2017,6,June,2,10,Saturday,23,1
2017-06-11 16:02:43,20170611,2017,6,June,2,11,Sunday,23,1
2017-06-12 23:00:43,20170612,2017,6,June,2,12,Monday,24,0
2017-06-13 21:11:26,20170613,2017,6,June,2,13,Tuesday,24,0
2017-06-14 19:49:48,20170614,2017,6,June,2,14,Wednesday,24,0
2017-06-15 16:02:23,20170615,2017,6,June,2,15,Thursday,24,0
2017-06-16 00:22:49,20170616,2017,6,June,2,16,Friday,24,0
2017-06-17 13:16:44,20170617,2017,6,June,2,17,Saturday,24,1
2017-06-18 19:51:54,20170618,2017,6,June,2,18,Sunday,24,1
2017-06-19 18:00:01,20170619,2017,6,June,2,19,Monday,25,0
2017-06-20 13:08:17,20170620,2017,6,June,2,20,Tuesday,25,0
2017-06-21 09:02:30,20170621,2017,6,June,2,21,Wednesday,25,0
2017-06-22 18:32:32,20170622,2017,6,June,2,22,Thursday,25,0
2017-06-23 11:23:50,20170623,2017,6,June,2,23,Friday,25,0
2017-06-24 17:11:53,20170624,2017,6,June,2,24,Saturday,25,1
2017-06-25 19:30:09,20170625,2017,6,June,2,25,Sunday,25,1
2017-06-26 07:04:39,20170626,2017,6,June,2,26,Monday,26,0
2017-06-27 23:11:57,20170627,2017,6,June,2,27,Tuesday,26,0
2017-06-28 20:47:14,20170628,2017,6,June,2,28,Wednesday,26,0
2017-06-29 00:10:49,20170629,2017,6,June,2,29,Thursday,26,0
2017-06-30 12:57:54,20170630,2017,6,June,2,30,Friday,26,0
