seller_id,seller_city,seller_state,seller_region,seller_zip_code_prefix
3442f8959a84dea7ee197c632cb2df15,Campinas,SP,Southeast,13023
d1b65fc7debc3361ea86b5f14c68d2e2,Mogi Guacu,SP,Southeast,13844
ce3ad9de960102d0677a81f5d0bb7b2d,Rio De Janeiro,RJ,Southeast,20031
c0f3eea2e14555b6faeea3dd58c1b1c3,Sao Paulo,SP,Southeast,4195
51a04a8a6bdcb23deccc82b0b80742cf,Braganca Paulista,SP,Southeast,12914
c240c4061717ac1806ae6ee72be3533b,Rio De Janeiro,RJ,Southeast,20920
e49c26c3edfa46d227d5121a6b6e4d37,Brejao,PE,Northeast,55325
1b938a7ec6ac5061a66a3766e0e75f90,Penapolis,SP,Southeast,16304
768a86e36ad6aae3d03ee3c6433d61df,Sao Paulo,SP,Southeast,1529
ccc4bbb5f32a6ab2b7066a4130f114e3,Curitiba,PR,South,80310
8cb7c5ddf41f4d506eba76e9a4702a25,Anapolis,GO,Central-West,75110
a7a9b880c49781da66651ccf4ba9ac38,Itirapina,SP,Southeast,13530
8bd0f31cf0a614c658f6763bd02dea69,Sao Paulo,SP,Southeast,1222
05a48cc8859962767935ab9087417fbb,Sao Paulo,SP,Southeast,5372
7b8e8ec35bad4b0ef7e3963650b0a87b,Tubarao,SC,South,88705
1444c08e64d55fb3c25f0f09c07ffcf2,Lauro De Freitas,BA,Northeast,42738
166e8f1381e09651983c38b1f6f91c11,Imbituba,SC,South,88780
e38db885400cd35c71dfd162f2c1dbcf,Brasilia,DF,Central-West,70740
d2e753bb80b7d4faa77483ed00edc8ca,Porto Seguro,BA,Northeast,45810
f9ec7093df3a7b346b7bcf7864069ca3,Sao Paulo,SP,Southeast,5138
4e6015589b781adaa5ce7f1892d06bb1,Guaruja,SP,Southeast,11440
4cf490a58259286ada5ba8525ba9e84a,Tabatinga,SP,Southeast,14910
f7496d659ca9fdaf323c0aae84176632,Sao Paulo,SP,Southeast,4156
2ff97219cb8622eaf3cd89b7d9c09824,Salto,SP,Southeast,13320
8bd0e3abda539b9479c4b44a691be1ec,Tres De Maio,RS,South,98910
2a1348e9addc1af5aaa619b1a3679d6b,Belo Horizonte,MG,Southeast,30494
2078fe5066350e7d220c0ad3a3bbc6c1,Arapongas,PR,South,86707
116ccb1a1604bc88e4d234a8c23f33de,Sao Bernardo Do Campo,SP,Southeast,9850
430315b7bb4b6e4b3c978f9dfa9b0558,Sao Paulo,SP,Southeast,4857
406822777a0b9eb5c50e442dd4cd3ec5,Tatui,SP,Southeast,18500
4dbd95a08b31ede5c82d3f861cb1ce1a,Curitiba,PR,South,80210
e9e446d01bd10a97a8ffcfc4a3a20cb2,Sao Paulo,SP,Southeast,2261
d52cbce9845184537284a23c3bc3da0e,Garopaba,SC,South,88495
d9a84e1403de8da0c3aa531d6d108ba6,Sao Paulo,SP,Southeast,3562
9c690ceacd5c66731bf443ea810195cb,Camanducaia,MG,Southeast,37650
1f9ab4708f3056ede07124aad39a2554,Tupa,SP,Southeast,17602
1961c3e1272bfeceb05d0b78b5bbfdaf,Guarulhos,SP,Southeast,7241
d3e7d37c0df9aef383f3f2a15b0dddfb,Sao Jose Dos Pinhais,PR,South,83050
ec2e006556300a79a5a91e4876ab3a56,Sao Paulo,SP,Southeast,3445
b2a6d334e2833acea353624840e25a0e,Sao Paulo,SP,Southeast,4133
d3674f271c91f824f82d24d92011f669,Brasilia,DF,Central-West,72233
768de2a4fc06aacecb9a586ccc30746a,Brasilia,DF,Central-West,70645
a81466620e46a6970b22ef40379fdfc9,Sao Ludgero,SC,South,88730
5c030029b5916fed0986310385ec9009,Sao Jose,SC,South,88075
c0f783394e37cd9c9d7f5f81141450fa,Piracicaba,SP,Southeast,13416
c353f8fc0ce8344999f17d578eb69a5e,Porto Alegre,RS,South,90850
8444e55c1f13cd5c179851e5ca5ebd00,Congonhal,MG,Southeast,37584
28a26ebce31d5918b181ede016fd693b,Belo Horizonte,MG,Southeast,31950
41ab63a91b8b264e8c8780368bf1dd5b,Belo Horizonte,MG,Southeast,31555
8759e7aedd644f487315e5860962f162,Santo Andre,SP,Southeast,9251
e546117ed9cafbc40239c0c78635c584,Sao Paulo,SP,Southeast,4705
d71d863e5ef30d94e440c11be17dcd8f,Osasco,SP,Southeast,6144
0c7533c71df861ec58ad7ff999ed0e8d,Valinhos,SP,Southeast,13270
ef990a83bbea832f36ebe81376335aa8,Joinville,SC,South,89214
41e0fa5761c886a630994a55c12087e7,Guaruja,SP,Southeast,11446
0747d5bb69f0586cc869d8af4c50f93e,Saquarema,RJ,Southeast,28990
7d294cf9a6a69dc6a0c3e540fff0e039,Barra Velha,SC,South,88390
c89cf7c468a48af70aada384e722f9e2,Petropolis,RJ,Southeast,25730
b7ba853e9551f4558440881fd3e5c815,Santo Antonio Da Patrulha,RS,South,95500
13c2ed7698b3ca92dad49e849219da59,Ponta Grossa,PR,South,84010
cbbd5ae8f53de5f5097cd8217b529e24,Santana De Parnaiba,SP,Southeast,6544
02ecc2a19303f05e59ce133fd923fff7,Santo Andre,SP,Southeast,9121
c013e57c075a06e5b5c48ee03c525719,Sao Carlos,SP,Southeast,13568
55f7a3319d80f7fdf078b8f03e6725fe,Osasco,SP,Southeast,6056
2d50d6282f8aa2257819a77bfaa0efe0,Ibitinga,SP,Southeast,14940
b7e1750c1157341d2abd0251e07c186b,Sao Paulo,SP,Southeast,5741
b90e891671cffd9557f33a97dc523645,Sao Jose Dos Pinhais,PR,South,83010
a416b6a846a11724393025641d4edd5e,Sao Paulo,SP,Southeast,3702
7e93a43ef30c4f03f38b393420bc753a,Barueri,SP,Southeast,6429
5206cc4bc2297c833e6061c49bf9c43f,Osasco,SP,Southeast,6192
